train_loss,train_acc,val_loss,val_acc
3.1404730478922525,0.058712121212121215,3.1266201019287108,0.06060606060606061
3.0346636970837912,0.09232954545454546,3.0288755893707275,0.21212121212121213
2.6420113317894214,0.4308712121212121,2.4877429008483887,0.5
1.950669013189547,0.8551136363636364,1.8958517551422118,0.7121212121212122
1.3624246418476105,0.9725378787878788,1.4407103538513184,0.7575757575757576
0.9758411844571432,0.9966856060606061,1.2134012699127197,0.803030303030303
0.7637694392240408,0.9995265151515151,1.0049538493156434,0.8333333333333334
0.6624067999196775,1.0,0.9526976823806763,0.8333333333333334
0.6297350056243666,1.0,0.8769042491912842,0.8787878787878788
0.6216756010597403,1.0,0.8678011059761047,0.8787878787878788
0.6185360437992847,1.0,0.8382683753967285,0.8787878787878788
0.6165590236584345,1.0,0.8403434753417969,0.8636363636363636
0.6150026980674628,1.0,0.8359203457832336,0.8787878787878788
